;l_id;v_id_1;v_id_2;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
322;323;167;165;220000;3.0;2.0;50.0;Wambel West;Amprion;;25193;0.08;0.32;11.5;1.3;1685857.0
323;324;165;249;380000;3.0;4.0;50.0;Gersteinwerk K2;Amprion;;1222;0.025;0.25;13.7;2.6;1686082.0
324;325;165;250;220000;3.0;2.0;50.0;Gersteinwerk F2;Amprion;;485;0.08;0.32;11.5;1.3;1686885.0
325;326;165;251;220000;3.0;2.0;50.0;Gersteinwerk G2;Amprion;;487;0.08;0.32;11.5;1.3;1686886.0
326;327;165;252;220000;3.0;2.0;50.0;Gersteinwerk I2;Amprion;;401;0.08;0.32;11.5;1.3;1686887.0
327;328;110;253;380000;3.0;4.0;50.0;Lippborg Trafo 412;Amprion;;1378;0.025;0.25;13.7;2.6;1703456.0
328;329;110;198;380000;3.0;4.0;50.0;Westfalen D;Amprion;;2168;0.025;0.25;13.7;2.6;1703680.0
329;330;110;198;380000;3.0;4.0;50.0;Westfalen E;Amprion;;2164;0.025;0.25;13.7;2.6;1703681.0
330;331;69;254;220000;3.0;1.0;50.0;Windesheim;Amprion;;64059;0.16;0.64;5.75;0.65;1734958.0
331;332;255;496;220000;3.0;;50.0;220 kV Kondelwald;Amprion;;73291;;;;;1735055.0
332;333;239;498;220000;3.0;2.0;50.0;Heisdorf - Quint Nord;Amprion;;50054;0.08;0.32;11.5;1.3;1735096.0
333;334;256;238;220000;3.0;1.0;;Saar Nord;Amprion;;59103;0.16;0.64;5.75;0.65;1735138.0
334;335;69;215;220000;3.0;2.0;50.0;Anilin 3c;Amprion;;13169;0.08;0.32;11.5;1.3;1737369.0
335;336;69;215;220000;3.0;2.0;50.0;Anilin 4d;Amprion;;13162;0.08;0.32;11.5;1.3;1737370.0
336;337;69;257;380000;3.0;4.0;50.0;Biblis 1a;Amprion;;10842;0.025;0.25;13.7;2.6;1737371.0
337;338;69;257;380000;3.0;4.0;50.0;Biblis 2b;Amprion;;10829;0.025;0.25;13.7;2.6;1737372.0
338;339;69;225;220000;3.0;4.0;50.0;Roxheim Nord;Amprion;;66433;0.04;0.16;23.0;2.6;1737381.0
339;340;258;259;220000;3.0;2.0;50.0;Leitung 2014;TenneT;2;15321;0.08;0.32;11.5;1.3;1740850.0
340;341;260;190;380000;3.0;;50.0;OBJTT-ENGST 380 kV;;;33854;;;;;1747957.0
341;342;260;261;380000;3.0;;50.0;PULVE-OBJTT 380 kV;EnBW Transportnetze AG;;45599;;;;;1747958.0
342;343;262;263;380000;6.0;4.0;;Bürs - Obermooweiler;;;78478;0.0125;0.125;27.4;5.2;1750798.0
343;344;264;263;220000;3.0;1.0;;Nord-Süd-Leitung (Abschnitt Bürs-Herbertingen);;;132775;0.16;0.64;5.75;0.65;1750800.0
344;345;94;265;220000;3.0;2.0;50.0;Bohmte West;Amprion;;21130;0.08;0.32;11.5;1.3;1778832.0
345;346;14;266;220000;6.0;2.0;;;;"250;251";51437;0.04;0.16;23.0;2.6;1820695.0
346;347;116;267;220000;3.0;2.0;50.0;Norf Ost;Amprion;;3268;0.08;0.32;11.5;1.3;1897790.0
347;348;116;267;220000;3.0;2.0;50.0;Norf West;Amprion;;2955;0.08;0.32;11.5;1.3;1897791.0
348;349;151;116;220000;3.0;2.0;50.0;Zons Nord;Amprion;;10959;0.08;0.32;11.5;1.3;1897792.0
349;350;111;114;380000;3.0;4.0;50.0;Sauerland Süd;Amprion;;50886;0.025;0.25;13.7;2.6;1906209.0
350;351;77;111;380000;3.0;4.0;50.0;Twistetal Ost 3;Amprion;;33331;0.025;0.25;13.7;2.6;2050530.0
351;352;77;111;380000;3.0;4.0;50.0;Twistetal West 4;Amprion;;33335;0.025;0.25;13.7;2.6;2050531.0
352;353;268;120;220000;3.0;2.0;50.0;Siegerland West;Amprion;;15779;0.08;0.32;11.5;1.3;2137096.0
353;354;269;120;380000;3.0;4.0;50.0;Westerwald Ost 2;"Amprion;TenneT";;75907;0.025;0.25;13.7;2.6;2137098.0
354;355;270;271;220000;3.0;2.0;50.0;;TenneT;2021;1563;0.08;0.32;11.5;1.3;2140374.0
355;356;35;36;220000;3.0;2.0;50.0;;TenneT;;2642;0.08;0.32;11.5;1.3;2141066.0
356;357;272;273;220000;3.0;1.0;50.0;Kassø (DK) - Flensburg (DE) 220 kV;"Energinet.dk;TenneT";;40503;0.16;0.64;5.75;0.65;2143451.0
357;358;272;274;220000;3.0;1.0;50.0;Flensburg (DE) - Ensted (DK);"Energinet.dk;TenneT";;35818;0.16;0.64;5.75;0.65;2143452.0
358;359;275;496;220000;3.0;2.0;50.0;Bandstahl Trafo 201;Amprion;;5235;0.08;0.32;11.5;1.3;2147236.0
359;360;276;496;380000;3.0;4.0;50.0;380 kV Metternich;Amprion;;16938;0.025;0.25;13.7;2.6;2147303.0
360;361;34;277;220000;3.0;1.0;50.0;;TenneT;;627;0.16;0.64;5.75;0.65;2155389.0
361;362;34;35;220000;3.0;2.0;50.0;;TenneT;;5846;0.08;0.32;11.5;1.3;2155415.0
362;363;37;39;380000;3.0;3.0;50.0;490;50Hertz;490;37273;0.033333;0.333333;10.275;1.95;2188188.0
363;364;20;22;380000;3.0;4.0;50.0;Brunsbüttel - Hamburg/Nord;;H;57443;0.025;0.25;13.7;2.6;2189200.0
364;365;20;21;380000;3.0;2.0;50.0;Hamburg/Ost - Hamburg/Nord;50Hertz;B;31290;0.05;0.5;6.85;1.3;2189657.0
365;366;37;278;220000;3.0;2.0;50.0;329;50Hertz Transmission;329;20288;0.08;0.32;11.5;1.3;2237835.0
366;367;37;278;220000;3.0;2.0;50.0;330;50Hertz Transmission;330;20291;0.08;0.32;11.5;1.3;2237836.0
367;368;37;42;220000;3.0;2.0;50.0;332;50Hertz Transmission;332;194526;0.08;0.32;11.5;1.3;2237880.0
368;369;37;42;220000;3.0;2.0;50.0;331;50Hertz Transmission;331;194581;0.08;0.32;11.5;1.3;2237881.0
369;370;177;218;220000;3.0;2.0;50.0;318;50Hertz Transmission;318;65477;0.08;0.32;11.5;1.3;2238161.0
370;371;182;180;220000;3.0;2.0;50.0;220kV Krajnik - Vierraden;"PSE-O;50Hertz";508;26175;0.08;0.32;11.5;1.3;2239286.0
371;372;279;280;380000;3.0;4.0;50.0;572;50Hertz;572;83027;0.025;0.25;13.7;2.6;2247028.0
372;373;279;280;380000;3.0;4.0;50.0;571;50Hertz;571;83019;0.025;0.25;13.7;2.6;2247029.0
373;374;279;281;220000;3.0;3.0;50.0;207;50Hertz Transmission;207;98459;0.053333;0.213333;17.25;1.95;2247304.0
374;375;279;282;220000;3.0;;50.0;203;50Hertz Transmission;203;51644;;;;;2247305.0
375;376;282;281;220000;3.0;2.0;50.0;208;50Hertz Transmission;208;67510;0.08;0.32;11.5;1.3;2247306.0
376;377;279;78;380000;3.0;;50.0;Remptendorf - Röhrsdorf;50Hertz Transmission;474;103534;;;;;2247333.0
377;378;279;281;380000;3.0;;50.0;Weida - Röhrsdorf;50Hertz Transmission;575;61758;;;;;2247334.0
378;379;78;281;380000;3.0;;50.0;Remptendorf - Weida;50Hertz Transmission;573;45660;;;;;2247335.0
379;380;285;161;220000;3.0;1.0;50.0;;TenneT;206;55591;0.16;0.64;5.75;0.65;2277544.0
380;381;285;161;220000;3.0;1.0;50.0;;TenneT;206;55591;0.16;0.64;5.75;0.65;2277545.0
381;382;270;161;220000;3.0;2.0;50.0;203 weiß;TenneT;203;57126;0.08;0.32;11.5;1.3;2312879.0
382;383;270;161;220000;3.0;2.0;50.0;203;TenneT;203;57140;0.08;0.32;11.5;1.3;2312880.0
383;384;258;286;220000;3.0;2.0;50.0;Leitung 2013;TenneT;1;32546;0.08;0.32;11.5;1.3;2317630.0
384;385;258;286;220000;3.0;2.0;50.0;Leitung 2013;TenneT;2;32548;0.08;0.32;11.5;1.3;2317631.0
385;386;94;95;220000;3.0;2.0;50.0;Wiehengebirge Ost;Amprion;;61597;0.08;0.32;11.5;1.3;2450379.0
386;387;265;95;220000;3.0;4.0;50.0;Westerkappeln Nord;Amprion;;18372;0.04;0.16;23.0;2.6;2450498.0
387;388;265;95;220000;3.0;4.0;50.0;Westerkappeln Süd;Amprion;;18372;0.04;0.16;23.0;2.6;2450499.0
388;389;499;98;400000;1.0;;0.0;Kontek (DK);;;162811;;;;;2505320.0
